visit_id,customer_id,service_taken,visit_date
VS00001,C07107,Threading,2025-11-03
VS00002,C04276,Hair Trimming,2025-05-29
VS00003,C08505,Makeup,2025-08-30
VS00004,C02378,Beard Grooming,2025-04-26
VS00005,C01754,Basic Grooming,2025-12-16
VS00006,C03309,Hair Trimming,2025-12-03
VS00007,C09942,Kids Haircut,2025-01-13
VS00008,C08346,Threading,2025-04-07
VS00009,C02157,Shaving,2025-08-27
VS00010,C08078,Kids Haircut,2025-06-13
VS00011,C00898,Hair Trimming,2025-09-23
VS00012,C01455,Kids Haircut,2025-10-20
VS00013,C00853,Basic Grooming,2025-03-05
VS00014,C08444,Basic Grooming,2025-01-20
VS00015,C00016,Shaving,2025-09-01
VS00016,C00071,Makeup,2025-09-07
VS00017,C02061,Kids Haircut,2025-10-10
VS00018,C03140,Beard Grooming,2025-12-20
VS00019,C04755,Basic Grooming,2025-07-13
VS00020,C01331,Basic Grooming,2025-10-20
VS00021,C07776,Kids Haircut,2025-08-11
VS00022,C07967,Kids Haircut,2025-06-16
VS00023,C00118,Makeup,2025-03-01
VS00024,C01662,Hair Straightening,2025-08-11
VS00025,C08994,Shaving,2025-02-10
VS00026,C06397,Hair Styling,2025-12-14
VS00027,C08597,Kids Haircut,2025-08-10
VS00028,C07297,Shaving,2025-03-31
VS00029,C02832,Threading,2025-08-20
VS00030,C05472,Hair Straightening,2025-12-05
VS00031,C03118,Kids Haircut,2025-09-16
VS00032,C04037,Basic Grooming,2025-04-08
VS00033,C09762,Makeup,2025-08-12
VS00034,C07403,Threading,2025-02-06
VS00035,C04494,Shaving,2025-09-02
VS00036,C08510,Kids Haircut,2025-11-12
VS00037,C08663,Hair Straightening,2025-04-10
VS00038,C02487,Hair Trimming,2025-05-04
VS00039,C01667,Hair Trimming,2025-03-18
VS00040,C00848,Basic Grooming,2025-11-20
VS00041,C02419,Threading,2025-06-11
VS00042,C00082,Hair Trimming,2025-09-08
VS00043,C04440,Shaving,2025-06-03
VS00044,C05686,Haircut,2025-01-29
VS00045,C02329,Haircut,2025-07-30
VS00046,C07696,Threading,2025-10-15
VS00047,C05212,Shaving,2025-05-30
VS00048,C08678,Hair Styling,2025-03-07
VS00049,C04302,Hair Trimming,2025-10-17
VS00050,C08280,Haircut,2025-09-21
VS00051,C01740,Hair Trimming,2025-12-17
VS00052,C05599,Kids Haircut,2025-04-08
VS00053,C08909,Kids Haircut,2025-01-05
VS00054,C04067,Makeup,2025-07-09
VS00055,C05781,Hair Styling,2025-09-10
VS00056,C05742,Kids Haircut,2025-06-28
VS00057,C04073,Beard Grooming,2025-06-11
VS00058,C03644,Haircut,2025-07-04
VS00059,C05183,Threading,2025-05-15
VS00060,C00083,Basic Grooming,2025-02-25
VS00061,C02327,Basic Grooming,2025-08-22
VS00062,C00010,Threading,2025-10-15
VS00063,C03155,Threading,2025-04-11
VS00064,C06631,Threading,2025-02-06
VS00065,C03190,Hair Trimming,2025-06-12
VS00066,C09319,Shaving,2025-05-13
VS00067,C03981,Shaving,2025-04-22
VS00068,C02005,Kids Haircut,2025-01-29
VS00069,C08152,Haircut,2025-08-18
VS00070,C02645,Basic Grooming,2025-01-06
VS00071,C03842,Shaving,2025-10-02
VS00072,C00215,Haircut,2025-09-06
VS00073,C03780,Kids Haircut,2025-01-28
VS00074,C05127,Hair Straightening,2025-08-07
VS00075,C04491,Basic Grooming,2025-10-29
VS00076,C02102,Basic Grooming,2025-03-06
VS00077,C09841,Basic Grooming,2025-03-29
VS00078,C01572,Hair Trimming,2025-09-01
VS00079,C05937,Kids Haircut,2025-10-20
VS00080,C06062,Kids Haircut,2025-06-25
VS00081,C07510,Kids Haircut,2025-05-26
VS00082,C01506,Haircut,2025-01-29
VS00083,C01956,Kids Haircut,2025-12-07
VS00084,C02987,Beard Grooming,2025-12-29
VS00085,C00097,Kids Haircut,2025-08-17
VS00086,C08149,Kids Haircut,2025-03-22
VS00087,C03759,Hair Trimming,2025-12-21
VS00088,C07950,Makeup,2025-10-17
VS00089,C03072,Threading,2025-09-16
VS00090,C03526,Hair Trimming,2025-07-27
VS00091,C08044,Kids Haircut,2025-10-27
VS00092,C00349,Shaving,2025-09-04
VS00093,C01308,Kids Haircut,2025-01-03
VS00094,C03344,Basic Grooming,2025-02-21
VS00095,C01373,Shaving,2025-05-17
VS00096,C02591,Kids Haircut,2025-08-22
VS00097,C00960,Basic Grooming,2025-05-27
VS00098,C02532,Kids Haircut,2025-10-13
VS00099,C07267,Beard Grooming,2025-12-08
VS00100,C03886,Threading,2025-05-29
VS00101,C00911,Shaving,2025-10-02
VS00102,C09230,Basic Grooming,2025-06-20
VS00103,C07581,Haircut,2025-09-03
VS00104,C03960,Shaving,2025-04-18
VS00105,C09206,Hair Styling,2025-01-22
VS00106,C08528,Beard Grooming,2025-04-19
VS00107,C05695,Shaving,2025-08-18
VS00108,C04421,Shaving,2025-09-25
VS00109,C07911,Threading,2025-08-08
VS00110,C03780,Kids Haircut,2025-02-26
VS00111,C09661,Hair Trimming,2025-11-04
VS00112,C04653,Hair Trimming,2025-04-23
VS00113,C08027,Hair Styling,2025-08-29
VS00114,C05674,Basic Grooming,2025-12-02
VS00115,C06227,Hair Straightening,2025-04-08
VS00116,C09646,Shaving,2025-07-13
VS00117,C06282,Makeup,2025-10-08
VS00118,C04368,Hair Styling,2025-10-18
VS00119,C04802,Basic Grooming,2025-02-12
VS00120,C02513,Threading,2025-03-09
VS00121,C04582,Hair Trimming,2025-05-26
VS00122,C06339,Beard Grooming,2025-04-21
VS00123,C09902,Hair Trimming,2025-04-27
VS00124,C09282,Hair Trimming,2025-03-30
VS00125,C06718,Basic Grooming,2025-03-31
VS00126,C07669,Kids Haircut,2025-08-14
VS00127,C01001,Basic Grooming,2025-07-01
VS00128,C02982,Basic Grooming,2025-02-24
VS00129,C02763,Hair Straightening,2025-07-12
VS00130,C04506,Hair Trimming,2025-05-03
VS00131,C08254,Hair Trimming,2025-04-02
VS00132,C08282,Hair Straightening,2025-04-27
VS00133,C02814,Hair Styling,2025-02-24
VS00134,C09089,Basic Grooming,2025-10-31
VS00135,C09395,Hair Trimming,2025-03-24
VS00136,C01563,Basic Grooming,2025-11-10
VS00137,C00865,Kids Haircut,2025-07-02
VS00138,C00343,Makeup,2025-10-09
VS00139,C06968,Haircut,2025-01-19
VS00140,C06057,Basic Grooming,2025-07-11
VS00141,C00096,Basic Grooming,2025-11-25
VS00142,C05205,Hair Straightening,2025-01-17
VS00143,C07902,Threading,2025-08-02
VS00144,C01664,Hair Straightening,2025-10-19
VS00145,C01260,Hair Trimming,2025-04-02
VS00146,C07057,Makeup,2025-02-20
VS00147,C05293,Hair Trimming,2025-12-02
VS00148,C05012,Haircut,2025-08-22
VS00149,C06858,Hair Straightening,2025-09-13
VS00150,C07835,Haircut,2025-06-04
VS00151,C05397,Hair Trimming,2025-11-10
VS00152,C09568,Shaving,2025-07-13
VS00153,C06777,Kids Haircut,2025-05-17
VS00154,C00230,Hair Trimming,2025-03-24
VS00155,C00008,Hair Trimming,2025-04-17
VS00156,C01964,Kids Haircut,2025-01-16
VS00157,C00521,Shaving,2025-12-03
VS00158,C09430,Kids Haircut,2025-01-03
VS00159,C08140,Basic Grooming,2025-04-07
VS00160,C08558,Shaving,2025-08-20
VS00161,C05819,Shaving,2025-07-10
VS00162,C00910,Hair Styling,2025-01-10
VS00163,C02033,Basic Grooming,2025-04-26
VS00164,C02684,Basic Grooming,2025-08-28
VS00165,C02014,Hair Trimming,2025-04-04
VS00166,C07412,Beard Grooming,2025-02-10
VS00167,C05065,Kids Haircut,2025-11-23
VS00168,C01882,Hair Trimming,2025-01-12
VS00169,C02415,Shaving,2025-02-22
VS00170,C05052,Basic Grooming,2025-06-15
VS00171,C09873,Beard Grooming,2025-11-03
VS00172,C05025,Kids Haircut,2025-11-22
VS00173,C04761,Hair Trimming,2025-11-07
VS00174,C09960,Kids Haircut,2025-12-11
VS00175,C01126,Hair Straightening,2025-03-21
VS00176,C01606,Basic Grooming,2025-04-16
VS00177,C05812,Hair Straightening,2025-03-05
